mut prob= 0,6
pop size= 50
tournament= 7

---Time reading file and creating Cities: 5.123275279998779 seconds ---

Calculating distances...
---Time Calculating distances: 0.05874156951904297 seconds ---

Searching for shortest way possible...
Calculating GA_loop
Creates the population:
Finished Creation of the population
Generation: 103, elapsed_time: 21.0 s, best route: 45886.86
Generation: 104, elapsed_time: 21.1 s, best route: 45725.48
Generation: 105, elapsed_time: 21.3 s, best route: 45622.86
Generation: 106, elapsed_time: 21.4 s, best route: 45622.86
Generation: 107, elapsed_time: 21.6 s, best route: 45588.07
Generation: 108, elapsed_time: 21.7 s, best route: 45375.43
Generation: 109, elapsed_time: 21.9 s, best route: 45312.43
Generation: 110, elapsed_time: 22.0 s, best route: 45312.43
Generation: 111, elapsed_time: 22.2 s, best route: 45128.51
Generation: 112, elapsed_time: 22.3 s, best route: 45128.51
Generation: 113, elapsed_time: 22.5 s, best route: 45106.83
Generation: 114, elapsed_time: 22.7 s, best route: 44942.69
Generation: 115, elapsed_time: 22.8 s, best route: 44942.69
Generation: 116, elapsed_time: 23.0 s, best route: 44937.73
Generation: 117, elapsed_time: 23.1 s, best route: 44926.39
Generation: 118, elapsed_time: 23.3 s, best route: 44616.75
Generation: 119, elapsed_time: 23.5 s, best route: 44493.48
Generation: 120, elapsed_time: 23.6 s, best route: 44483.17
Generation: 121, elapsed_time: 23.8 s, best route: 44418.23
Generation: 122, elapsed_time: 24.0 s, best route: 44418.23
Generation: 123, elapsed_time: 24.1 s, best route: 44406.88
Generation: 124, elapsed_time: 24.3 s, best route: 44275.31
Generation: 125, elapsed_time: 24.5 s, best route: 44266.34
Generation: 126, elapsed_time: 24.7 s, best route: 44254.99
Generation: 127, elapsed_time: 24.8 s, best route: 44254.99
Generation: 128, elapsed_time: 25.0 s, best route: 44233.43
Generation: 129, elapsed_time: 25.2 s, best route: 44233.43
Generation: 130, elapsed_time: 25.3 s, best route: 44233.43
Generation: 131, elapsed_time: 25.5 s, best route: 44185.09
Generation: 132, elapsed_time: 25.6 s, best route: 44185.09
Generation: 133, elapsed_time: 25.7 s, best route: 44185.09
Generation: 134, elapsed_time: 25.9 s, best route: 44026.35
Generation: 135, elapsed_time: 26.0 s, best route: 44026.35
Generation: 136, elapsed_time: 26.1 s, best route: 44026.35
Generation: 137, elapsed_time: 26.3 s, best route: 44026.35
Generation: 138, elapsed_time: 26.4 s, best route: 43998.21
Generation: 139, elapsed_time: 26.6 s, best route: 43644.90
Generation: 140, elapsed_time: 26.7 s, best route: 43644.90
Generation: 141, elapsed_time: 26.9 s, best route: 43644.90
Generation: 142, elapsed_time: 27.0 s, best route: 43644.90
Generation: 143, elapsed_time: 27.2 s, best route: 43505.09
Generation: 144, elapsed_time: 27.3 s, best route: 43505.09
Generation: 145, elapsed_time: 27.4 s, best route: 43505.09
Generation: 146, elapsed_time: 27.5 s, best route: 43505.09
Generation: 147, elapsed_time: 27.7 s, best route: 43505.09
Generation: 148, elapsed_time: 27.8 s, best route: 43338.66
Generation: 149, elapsed_time: 28.0 s, best route: 43338.66
Generation: 150, elapsed_time: 28.2 s, best route: 43255.16
Generation: 151, elapsed_time: 28.5 s, best route: 43044.87
Generation: 152, elapsed_time: 28.8 s, best route: 42961.37
Generation: 153, elapsed_time: 29.1 s, best route: 42885.89
Generation: 154, elapsed_time: 29.3 s, best route: 42845.03
Generation: 155, elapsed_time: 29.6 s, best route: 42845.03
Generation: 156, elapsed_time: 29.8 s, best route: 42758.29
Generation: 157, elapsed_time: 29.9 s, best route: 42758.29
Generation: 158, elapsed_time: 30.1 s, best route: 42656.45
Generation: 159, elapsed_time: 30.3 s, best route: 42337.56
Generation: 160, elapsed_time: 30.5 s, best route: 42337.56
Generation: 161, elapsed_time: 30.6 s, best route: 42337.56
Generation: 162, elapsed_time: 30.7 s, best route: 42337.56
Generation: 163, elapsed_time: 31.0 s, best route: 42337.16
Generation: 164, elapsed_time: 31.1 s, best route: 42337.16
Generation: 165, elapsed_time: 31.3 s, best route: 42337.16
Generation: 166, elapsed_time: 31.4 s, best route: 42337.16
Generation: 167, elapsed_time: 31.5 s, best route: 42337.16
Generation: 168, elapsed_time: 31.7 s, best route: 42259.69
Generation: 169, elapsed_time: 31.8 s, best route: 42259.69
Generation: 170, elapsed_time: 32.0 s, best route: 42259.69
Generation: 171, elapsed_time: 32.3 s, best route: 42203.90
Generation: 172, elapsed_time: 32.5 s, best route: 42202.67
Generation: 173, elapsed_time: 32.8 s, best route: 42105.14
Generation: 174, elapsed_time: 33.0 s, best route: 42105.14
Generation: 175, elapsed_time: 33.3 s, best route: 42067.29
Generation: 176, elapsed_time: 33.5 s, best route: 42067.29
Generation: 177, elapsed_time: 33.8 s, best route: 41994.81
Generation: 178, elapsed_time: 34.0 s, best route: 41994.81
Generation: 179, elapsed_time: 34.2 s, best route: 41994.81
Generation: 180, elapsed_time: 34.5 s, best route: 41877.41
Generation: 181, elapsed_time: 34.7 s, best route: 41877.41
Generation: 182, elapsed_time: 34.9 s, best route: 41877.41
Generation: 183, elapsed_time: 35.2 s, best route: 41812.07
Generation: 184, elapsed_time: 35.4 s, best route: 41812.07
Generation: 185, elapsed_time: 35.6 s, best route: 41812.07
Generation: 186, elapsed_time: 36.0 s, best route: 41693.56
Generation: 187, elapsed_time: 36.2 s, best route: 41693.56
Generation: 188, elapsed_time: 36.4 s, best route: 41540.73
Generation: 189, elapsed_time: 36.7 s, best route: 41403.01
Generation: 190, elapsed_time: 36.9 s, best route: 41403.01
Generation: 191, elapsed_time: 37.1 s, best route: 41403.01
Generation: 192, elapsed_time: 37.3 s, best route: 41236.62
Generation: 193, elapsed_time: 37.5 s, best route: 41236.62
Generation: 194, elapsed_time: 37.7 s, best route: 41236.62
Generation: 195, elapsed_time: 38.0 s, best route: 41230.89
Generation: 196, elapsed_time: 38.2 s, best route: 41219.65
Generation: 197, elapsed_time: 38.4 s, best route: 41219.65
Generation: 198, elapsed_time: 38.8 s, best route: 41144.28
Generation: 199, elapsed_time: 39.0 s, best route: 41144.28
Generation: 200, elapsed_time: 39.2 s, best route: 41144.28
Generation: 201, elapsed_time: 39.4 s, best route: 41144.28
Generation: 202, elapsed_time: 39.7 s, best route: 41084.27
